Status,Sequence Number,Time-Stamp,Mode,Current (Amps),Alarm Active,Contactor State,Balancing,Relative Humidity (%),Current Sensor Temp (deg C),Power Pin 1 Temp (deg C),Power Pin 2 Temp (deg C),Temp ADBMS (deg C),Sum Of Cells (V),Module Voltage (V),Pos Terminal Voltage (V),Power Dissipation Estimate (Watts),Cummulative Heat Energy Estimate (Joules),Core Pack Temperature Estimate (deg C),Module 1 Temp (deg C),Module 2 Temp (deg C),Module 3 Temp (deg C),Module 4 Temp (deg C),Module 5 Temp (deg C),Module 6 Temp (deg C),SOC[01] (%),SOC[02] (%),SOC[03] (%),SOC[04] (%),SOC[05] (%),SOC[06] (%),SOC[07] (%),SOC[08] (%),SOC[09] (%),SOC[10] (%),SOC[11] (%),SOC[12] (%),SOC[13] (%),SOC[14] (%),Cell Group Voltage[01] (V),Cell Group Voltage[02] (V),Cell Group Voltage[03] (V),Cell Group Voltage[04] (V),Cell Group Voltage[05] (V),Cell Group Voltage[06] (V),Cell Group Voltage[07] (V),Cell Group Voltage[08] (V),Cell Group Voltage[09] (V),Cell Group Voltage[10] (V),Cell Group Voltage[11] (V),Cell Group Voltage[12] (V),Cell Group Voltage[13] (V),Cell Group Voltage[14] (V),Fuel Gauge Min (),Fuel Gauge Ave (), uel Gauge Max (),Data Connector Power Voltage (V),Charging Current Limit (Amps),Charging Voltage Limit (V),Current Limit Charge Derating Reason,Discharging Current Limit (Amps),Current Limit Discharge Derating Reason,Application State
Ok,3593,2020-06-19 16:01:36.059,Discharging,0.117,No,On,Off,35.7,21.54,17.08,17.49,26.66,49.557,49.631,49.435,-0.0,0.00,22.95,22.95,22.32,21.87,21.68,22.20,22.66,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.541,3.540,3.540,3.540,3.540,3.540,3.540,3.540,3.541,3.540,3.539,3.539,3.539,3.540,15.84,15.99,16.14,0.310,0.00,0.000,None,1.20,None,Active
Ok,3594,2020-06-19 16:01:38.059,Discharging,0.102,No,On,Off,35.6,21.54,17.04,17.45,26.74,49.556,49.628,49.431,-0.0,-0.00,22.95,22.95,22.32,21.87,21.67,22.20,22.66,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.540,3.540,3.540,3.540,3.540,3.541,3.540,3.539,3.538,3.538,3.540,15.84,15.99,16.14,12.180,0.00,0.000,None,13.20,None,Active
Ok,3595,2020-06-19 16:01:40.059,Discharging,0.146,No,On,Off,35.6,21.53,17.01,17.42,26.76,49.556,49.628,49.431,-0.0,-0.00,22.95,22.95,22.32,21.87,21.67,22.20,22.66,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.539,3.538,3.538,3.540,15.84,15.99,16.14,12.181,0.00,0.000,None,25.20,None,Active
Ok,3596,2020-06-19 16:01:42.059,Discharging,0.117,No,On,Off,35.5,21.53,16.98,17.39,26.80,49.556,49.628,49.431,-0.0,-0.00,22.95,22.95,22.31,21.87,21.67,22.20,22.66,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.539,3.538,3.538,3.540,15.84,15.99,16.14,12.181,0.00,0.000,None,37.20,None,Active
Ok,3597,2020-06-19 16:01:44.059,Discharging,0.088,No,On,Off,35.5,21.52,16.95,17.36,26.84,49.556,49.628,49.431,-0.0,-0.00,22.95,22.94,22.31,21.87,21.67,22.19,22.66,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.539,3.538,3.538,3.540,15.84,15.99,16.14,12.181,0.00,0.000,None,49.20,None,Active
Ok,3598,2020-06-19 16:01:46.059,Discharging,0.146,No,On,Off,35.4,21.52,16.92,17.33,26.90,49.556,49.628,49.431,-0.0,-0.00,22.95,22.94,22.31,21.87,21.66,22.19,22.66,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.539,3.538,3.538,3.540,15.84,15.99,16.14,12.181,0.00,0.000,None,61.20,None,Active
Ok,3599,2020-06-19 16:01:48.059,Discharging,0.117,No,On,Off,35.4,21.51,16.90,17.31,26.92,49.556,49.628,49.431,-0.0,-0.00,22.95,22.94,22.31,21.86,21.66,22.19,22.65,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.538,3.538,3.538,3.540,15.84,15.98,16.14,12.181,0.00,0.000,None,73.20,None,Active
Ok,3600,2020-06-19 16:01:50.059,Discharging,0.102,No,On,Off,35.4,21.50,16.87,17.28,26.96,49.555,49.624,49.427,-0.0,-0.00,22.95,22.93,22.30,21.86,21.66,22.19,22.65,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.538,3.538,3.538,3.540,15.84,15.98,16.14,12.182,0.00,0.000,None,85.20,None,Active
Ok,3601,2020-06-19 16:01:52.058,Discharging,0.132,No,On,Off,35.3,21.50,16.85,17.26,27.02,49.555,49.628,49.431,-0.0,-0.01,22.95,22.93,22.30,21.86,21.66,22.19,22.65,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.538,3.538,3.538,3.540,15.84,15.98,16.14,12.182,0.00,0.000,None,97.20,None,Active
Ok,3602,2020-06-19 16:01:54.058,Discharging,0.102,No,On,Off,35.3,21.49,16.82,17.24,27.06,49.555,49.624,49.427,-0.0,-0.01,22.95,22.93,22.30,21.86,21.65,22.19,22.65,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.90,27.80,27.70,27.70,27.60,27.80,3.540,3.540,3.540,3.539,3.540,3.540,3.540,3.540,3.541,3.540,3.538,3.538,3.538,3.540,15.84,15.98,16.14,12.182,0.00,0.000,None,109.20,None,Active
